kind,old_code,new_code,status,source_name,target_name,source_unit,target_unit,match_score,reason
Material,2240003,1220569,规范化名称匹配,镀锌焊接钢管  DN20×2.75,镀锌焊接钢管 DN20×2.75,m,m,98,
Material,4141010,7050067,规范化名称匹配,钢管护口 D15～20,钢管护口 D=15～20,个,个,98,
Material,4715015,7010913,相似名称匹配,铜芯塑料线 BV 500V 4mm2,铜芯塑料软线 BVR 500V 4mm2,m,m,96,自动采用唯一高相似候选
Material,2240007,1220585,规范化名称匹配,镀锌焊接钢管  DN32×3.25,镀锌焊接钢管 DN32×3.25,m,m,98,
Material,2240011,1220601,规范化名称匹配,镀锌焊接钢管  DN50×3.5,镀锌焊接钢管 DN50×3.5,m,m,98,
Material,4715019,7010951,相似名称匹配,铜芯塑料线 BV 500V 25mm2,铜芯塑料软线 BVR 500V 25mm2,m,m,96,自动采用唯一高相似候选
Material,3360012,1223937,规范化名称匹配,聚氯乙烯软管 d6×1,聚氯乙烯软管 D6×1,m,m,98,
Material,2240014,1220617,规范化名称匹配,镀锌焊接钢管  DN80×4,镀锌焊接钢管 DN80×4,m,m,98,
Material,3432017,1056697,相似名称匹配,标签纸(50页/本),标签纸 50页,本,本,97,自动采用唯一高相似候选
Material,2010003,1221369,规范化名称匹配,镀铬钢管 d10×1.5,镀铬钢管 D10×1.5,m,m,98,
Material,4113010,7051673,规范化名称匹配,塑料管卡 d15～20,塑料管卡 D=15～20,个,个,98,
Material,4114012,7051739,规范化名称匹配,线卡 d6,线卡 D6,个,个,98,
Material,1410007,1131297,规范化名称匹配,预应力混凝土电杆 Φ190×10000,预应力混凝土电杆 φ190×10000,根,根,98,
Material,1410009,1131513,规范化名称匹配,预应力混凝土电杆 Φ190×12000,预应力混凝土电杆 φ190×12000,根,根,98,
Material,1410012,1131837,规范化名称匹配,预应力混凝土电杆 Φ190×18000,预应力混凝土电杆 φ190×18000,根,根,98,
Material,4732013,7016328,相似名称匹配,铝芯绝缘架空电缆 10kV JKLYJ 95mm2,铝芯架空绝缘电缆 10kV JKLYJ 95mm2,m,m,93,自动采用唯一高相似候选
Material,1412002,1132269,相似名称匹配,钢筋混凝土等径电杆 Φ300×4500 下段,钢筋混凝土等径电杆 φ300×4500,根,根,100,自动采用唯一高相似候选
Material,1412003,1132377,规范化名称匹配,钢筋混凝土等径电杆 Φ300×6000 中段,钢筋混凝土等径电杆 φ300×6000 中段,根,根,98,
Material,2220035,1220441,规范化名称匹配,焊接钢管  DN150×4.5,焊接钢管 DN150×4.5,m,m,98,
Material,1810355,1201081,规范化名称匹配,石棉扭绳 Φ3～5,石棉扭绳 φ=3～5,kg,kg,98,
Material,6111033,8070841,相似名称匹配,操动机构支架 槽钢#10×390,操动机构支架 槽钢10×390,根,根,100,自动采用唯一高相似候选
Material,6111037,8070946,相似名称匹配,操动机构支架 槽钢#5×1320,操动机构支架 槽钢5×1320,根,根,100,自动采用唯一高相似候选
Material,6155113,8060649,规范化名称匹配,Ｕ形抱箍 Φ300,Ｕ形抱箍 φ300,套,套,98,
Material,6166032,8079311,规范化名称匹配,网栅立柱 Φ42×2.5×2000,网栅立柱 φ42×2.5×2000,根,根,98,
Material,6177004,8073816,相似名称匹配,连接槽钢 #10×89,连接槽钢 10×89,根,根,98,自动采用唯一高相似候选
Material,6177007,8073886,相似名称匹配,连接槽钢 #10×600,连接槽钢 10×600,根,根,98,自动采用唯一高相似候选
Material,6177044,8066001,规范化名称匹配,拉杆 Φ25×1900,拉杆 φ25×1900,根,根,98,
Material,6177045,8066009,规范化名称匹配,拉杆 Φ25×2000,拉杆 φ25×2000,根,根,98,
Material,6177049,8066041,规范化名称匹配,连杆 Φ40×1900,连杆 φ40×1900,根,根,98,
Material,6177554,8075006,规范化名称匹配,顶板钢板 5×Φ40,顶板钢板 5×φ40,块,块,98,
Material,6177575,8075601,规范化名称匹配,M形垫板 Φ300,M形垫板 φ300,块,块,98,
Material,6200241,1159339,相似名称匹配,环氧酚醛玻璃布板 5×1500×1000,环氧酚醛玻璃布板 1500×1000×5,张,张,92,自动采用唯一高相似候选
Machine,9101004,9101004,相似名称匹配,电动空气压缩机 ≤3m3/min,电动活塞式空气压缩机 ≤3m³/min,台班,台班,100,自动采用唯一高相似候选
Machine,9107561,9116151,规范化名称匹配,SF6气体回收净化充放装置5~7kW,SF6气体回收净化充放装置 5~7kW,台班,台班,98,
Material,3603023,1060351,相似名称匹配,化学锚栓 M16×190,化学锚栓带帽 M16×190,套,套,95,自动采用唯一高相似候选
Material,3355021,1032024,规范化名称匹配,塑料护口 Φ15,塑料护口 φ15,个,个,98,
Material,7317215,5037177,相似名称匹配,低烟无卤耐火屏蔽软线 WDN-RYYP 4芯2.0mm2,低烟无卤耐火屏蔽软线 WDZN-RYYP 4芯2.0mm2,m,m,100,自动采用唯一高相似候选
Material,3714018,1254811,规范化名称匹配,聚氯乙烯焊条 Φ1～5,聚氯乙烯焊条 φ=1～5,kg,kg,98,
Material,7510010,5050001,规范化名称匹配单位不同,光缆接头盒  ≤60芯,光缆接头盒 ≤60芯,套,个,98,
Material,7015017,5018171,相似名称匹配,低烟无卤阻燃尾纤 10m FC接头 9/125um,低烟无卤阻燃尾纤 10m FC接头 9/125μm,根,根,98,自动采用唯一高相似候选
Material,7015020,5018551,相似名称匹配,低烟无卤阻燃双芯跳纤 10m FC-FC 9/125um,低烟无卤阻燃双芯跳纤 10m FC-FC 9/125μm,根,根,99,自动采用唯一高相似候选
Machine,9109718,9120215,相似名称匹配,局域网电缆测试仪 六类,局域网电缆测试仪,台班,台班,100,自动采用唯一高相似候选
Material,3355023,1032143,规范化名称匹配,塑料护口 Φ50,塑料护口 φ50,个,个,98,
Material,7015016,5018076,相似名称匹配,低烟无卤阻燃尾纤 3m FC接头 9/125um,低烟无卤阻燃尾纤 3m FC接头 9/125μm,根,根,98,自动采用唯一高相似候选
Material,2150001,1011483,规范化名称匹配,低碳钢丝 Φ1～5,低碳钢丝 φ=1～5,kg,kg,98,
Material,2240005,1220577,规范化名称匹配,镀锌焊接钢管  DN25×3.25,镀锌焊接钢管 DN25×3.25,m,m,98,
Material,7912086,1302576,相似名称匹配,室内镀锌钢槽 宽+高=300 δ=1.5（带两块隔板）,室内镀锌钢槽 宽+高=300 δ=1.5,m,m,97,自动采用唯一高相似候选
Material,7912087,1302679,相似名称匹配,室内镀锌钢槽 宽+高=400 δ=1.5（带两块隔板）,室内镀锌钢槽 宽+高=400 δ=1.5,m,m,97,自动采用唯一高相似候选
Material,7912088,1302782,相似名称匹配,室内镀锌钢槽 宽+高=600 δ=2.0（带两块隔板）,室内镀锌钢槽 宽+高=600 δ=2.0,m,m,97,自动采用唯一高相似候选
Material,7912089,1302885,相似名称匹配,室内镀锌钢槽 宽+高=800 δ=2.0（带两块隔板）,室内镀锌钢槽 宽+高=800 δ=2.0,m,m,97,自动采用唯一高相似候选
Material,7015021,5018646,相似名称匹配,低烟无卤阻燃双芯跳纤 20m FC-FC 9/125um,低烟无卤阻燃双芯跳纤 20m FC-FC 9/125μm,根,根,99,自动采用唯一高相似候选
Material,8800070,1060151,相似名称匹配,化学锚栓含帽（M10×200～250）,化学锚栓带帽 M10×(200～250),套,套,97,自动采用唯一高相似候选
Material,2750028,1062051,相似名称匹配,高强度螺栓带帽 Φ22×100,高强螺栓带帽 M22×100,套,套,92,自动采用唯一高相似候选
Material,3603025,1060251,相似名称匹配,化学锚栓 M12×110,化学锚栓带帽 M12×110,套,套,95,自动采用唯一高相似候选
Material,7912077,5095645,相似名称匹配,有柱雨棚吊杆法兰(上),无柱雨棚吊杆法兰(上),套,套,92,自动采用唯一高相似候选
Material,7912078,5095977,相似名称匹配,有柱雨棚吊杆法兰(下),无柱雨棚吊杆法兰(下),套,套,92,自动采用唯一高相似候选
Material,3355024,1032262,规范化名称匹配,塑料护口 Φ100,塑料护口 φ100,个,个,98,
Material,8211039,6037561,规范化名称匹配,铝合金走线架 宽400mm,铝合金走线架 宽400,m,m,98,
Material,8810305,5041021,规范化名称匹配,镀锌视频钢杆 六棱　8m,镀锌视频钢杆 六棱 8m,根,根,98,
Material,2400214,1016839,规范化名称匹配,紫铜线 Φ3,紫铜线 φ3,kg,kg,98,
Material,2550529,4030815,相似名称匹配,1＃胶胶合板 δ=18,1号胶胶合板 δ=18,m2,m2,92,自动采用唯一高相似候选
Material,2547212,1012341,相似名称匹配单位不同,镀锌铁丝网,镀锌铁丝,m2,kg,97,自动采用唯一高相似候选
Material,1300062,1101101,规范化名称匹配,多孔砖  DM3  190×140×90,多孔砖 DM3 190×140×90,块,块,98,
Material,1300063,1101321,规范化名称匹配,多孔砖  DM4  190×90×90,多孔砖 DM4 190×90×90,块,块,98,
Material,1300085,1103521,规范化名称匹配,蒸压灰砂砖  240×115×53,蒸压灰砂砖 240×115×53,千块,千块,98,
Material,1300086,1103741,规范化名称匹配,蒸压粉煤灰砖  240×115×53,蒸压粉煤灰砖 240×115×53,千块,千块,98,
Material,1300061,1100881,规范化名称匹配,多孔砖  DM2  190×190×90,多孔砖 DM2 190×190×90,块,块,98,
Material,1300060,1100661,规范化名称匹配,多孔砖  DM1  190×240×90,多孔砖 DM1 190×240×90,块,块,98,
Material,1300076,1105281,规范化名称匹配,泡沫混凝土砌块  390×90×190,泡沫混凝土砌块 390×90×190,千块,千块,98,
Material,1300077,1105501,规范化名称匹配,泡沫混凝土砌块  190×90×190,泡沫混凝土砌块 190×90×190,千块,千块,98,
Material,1300078,1105721,规范化名称匹配,泡沫混凝土砌块  390×190×190,泡沫混凝土砌块 390×190×190,千块,千块,98,
Material,3120622,1176427,相似名称匹配,耐水腻子（粉）,耐水腻子,kg,kg,100,自动采用唯一高相似候选
Material,3120311,1185125,相似名称匹配,油性无光调和漆 红,油性无光调和漆,kg,kg,100,自动采用唯一高相似候选
Machine,9108601,9107601,相似名称匹配,除锈喷砂机 ≤3m3/min,除锈喷砂机 ≤3m³/min,台班,台班,95,自动采用唯一高相似候选
Material,2000026,1013459,规范化名称匹配,钢板 09Mn2δ=12～20,钢板 09Mn2 δ=12～20,kg,kg,98,
Material,1300419,1126139,规范化名称匹配,水泥铺地砖250×250×50,水泥铺地砖 250×250×50,千块,千块,98,
Material,1720001,1204861,相似名称匹配,膨胀珍珠岩、珠光砂、珠岩粉,膨胀珍珠岩（珠光砂、珠岩粉）,m3,m3,99,自动采用唯一高相似候选
Material,1710063,1211999,规范化名称匹配单位不同,耐根穿刺SBS防水卷材δ=4,耐根穿刺SBS防水卷材 δ=4,㎡,m2,98,
Material,1300266,1123169,规范化名称匹配,陶瓷地面砖300×300,陶瓷地面砖 300×300,m2,m2,98,
Material,3392065,1032619,相似名称匹配,聚氯乙烯薄膜 0.1～0.23,聚氯乙烯薄膜 δ=0.1～0.23,kg,kg,100,自动采用唯一高相似候选
Material,1300270,1123961,规范化名称匹配,陶瓷地面砖1000×1000,陶瓷地面砖 1000×1000,m2,m2,98,
Material,2547218,1012029,规范化名称匹配,钢丝网 Φ0.9～1×10,钢丝网 φ(0.9～1)×10,m2,m2,98,
Material,2220041,1220473,规范化名称匹配,焊接钢管  DN250×6.5,焊接钢管 DN250×6.5,m,m,98,
Material,4022011,1273953,相似名称匹配,金钢石 长方形 300×75×50,金刚石 长方形 300×75×50,块,块,96,自动采用唯一高相似候选
Material,2220025,1220401,规范化名称匹配,焊接钢管  DN40×3.5,焊接钢管 DN40×3.5,m,m,98,
Material,4020115,1273225,规范化名称匹配,砂轮片 Φ500×25×4,砂轮片 φ500×25×4,片,片,98,
Material,2220033,1220433,规范化名称匹配,焊接钢管  DN100×4,焊接钢管 DN100×4,m,m,98,
Material,2220038,1220457,规范化名称匹配,焊接钢管  DN200×6.5,焊接钢管 DN200×6.5,m,m,98,
Material,2220042,1220481,规范化名称匹配,焊接钢管  DN300×6.5,焊接钢管 DN300×6.5,m,m,98,
Material,2220028,1220409,规范化名称匹配,焊接钢管  DN50×3.5,焊接钢管 DN50×3.5,m,m,98,
Material,2031016,4035347,规范化名称匹配,不锈钢扶手Φ50,不锈钢扶手 φ50,m,m,98,
Material,1300215,1120991,规范化名称匹配,抛光地面砖  600×600,抛光地面砖 600×600,m2,m2,98,
Material,1300268,1123565,规范化名称匹配,陶瓷地面砖600×600,陶瓷地面砖 600×600,m2,m2,98,
Material,1250124,4035083,规范化名称匹配单位不同,大理石踢脚线  150,大理石踢脚线 150,m2,m,98,
Material,1250123,4035061,规范化名称匹配,花岗岩踢脚线  150,花岗岩踢脚线 150,m,m,98,
Material,2347050,1223249,规范化名称匹配,钢管弯头Φ50,钢管弯头 φ50,个,个,98,
Material,2547173,1222041,相似名称匹配,铝合金U型管80×13,铝合金U形管 80×13,m,m,94,自动采用唯一高相似候选
Material,2550823,1222049,规范化名称匹配,铝合金扁管100×44×1.8,铝合金扁管 100×44×1.8,m,m,98,
Material,3392063,1038688,规范化名称匹配,有机玻璃  δ=10,有机玻璃 δ=10,m2,m2,98,
Material,1110531,1141813,规范化名称匹配,硬木弯头60×65,硬木弯头 60×65,个,个,98,
Material,2550605,4033037,规范化名称匹配,T形龙骨挂件Φ3.5挂钩,T形龙骨挂件φ3.5挂钩,个,个,98,
Material,2550514,4030727,规范化名称匹配,PVC装饰板δ=1.25,PVC装饰板 δ=1.25,m2,m2,98,
Material,2410420,4031343,规范化名称匹配,铝合金装饰板  δ=1.2,铝合金装饰板 δ=1.2,m2,m2,98,
Material,2550636,4030397,规范化名称匹配,铝合金条板吊顶靠墙板MK1,铝合金条板吊顶靠墙板 MK1,m,m,98,
Material,2031014,1014655,规范化名称匹配,不锈钢卡口槽  10×3×1.2,不锈钢卡口槽 10×3×1.2,m,m,98,
Material,2550656,4015107,规范化名称匹配,不锈钢全玻地弹门（带玻璃）,不锈钢全玻地弹门 (带玻璃),m2,m2,98,
Material,1600824,1058185,规范化名称匹配,玻璃钢伸缩节 Φ110,玻璃钢伸缩节 φ110,个,个,98,
Material,1600859,1015175,规范化名称匹配,卡箍 Φ110,卡箍 φ110,套,套,98,
Material,2547024,4010001,相似名称匹配,塑钢单玻平开窗（带中空玻璃）,塑钢单玻平开窗 (带玻璃),m2,m2,94,自动采用唯一高相似候选
Material,3378015,1225553,规范化名称匹配,UPVC雨水管 Φ110,UPVC雨水管 φ110,m,m,98,
Material,3378017,1225569,规范化名称匹配,UPVC雨水斗 Φ110,UPVC雨水斗 φ110,个,个,98,
Material,3390142,4038515,规范化名称匹配,皮条  20×2,皮条 20×2,m,m,98,
Material,2368137,1017879,相似名称匹配,铸铁水斗 DN100以内,铸铁水斗 DN100,个,个,100,自动采用唯一高相似候选
Material,2550127,1014915,规范化名称匹配,支承杆 Φ25,支承杆 φ25,kg,kg,98,
Material,2550561,4033873,相似名称匹配,不锈钢框全钢化玻隔断,不锈钢框全钢化玻璃隔断,m2,m2,98,自动采用唯一高相似候选
Material,2410421,4037833,规范化名称匹配,铝板网  15×15×1,铝板网 15×15×1,m2,m2,98,
Material,2410435,4037987,规范化名称匹配,铝合金收口压条  20×1.2,铝合金收口压条 20×1.2,m,m,98,
Material,1600675,1154467,规范化名称匹配,热反射玻璃δ=6,热反射玻璃 δ=6,m2,m2,98,
Material,2368749,1136157,规范化名称匹配,预制盖板δ=25,预制盖板 δ=25,m2,m2,98,
Material,2368752,1208506,规范化名称匹配,防火隔板δ=10,防火隔板 δ=10,m2,m2,98,
Material,2410437,4031453,规范化名称匹配,电化铝装饰板  100×0.8,电化铝装饰板 100×0.8,m2,m2,98,
Material,2410438,4038009,规范化名称匹配,电化角铝  25.4×2,电化角铝 25.4×2,m,m,98,
Material,2550421,1225409,规范化名称匹配,井点总管 Φ159,井点总管 φ159,m,m,98,
Material,2550428,1227345,规范化名称匹配,大口径井点吸水器（25m）,大口径井点吸水器 25m,套,套,98,
Material,2550429,1225505,规范化名称匹配,大口径井点井管 Φ400,大口径井点井管 φ400,m,m,98,
Material,4020015,1270001,规范化名称匹配,合金钻头 Φ43,合金钻头 φ43,个,个,98,
Machine,9104321,9104231,相似名称匹配,灰浆输送泵 ≤3m3/h,灰浆输送泵 ≤3m³/h,台班,台班,96,自动采用唯一高相似候选
Material,2550164,4034511,规范化名称匹配,PVC扣板  δ=2,PVC扣板 δ=2,m2,m2,98,
Material,2410436,1017567,规范化名称匹配,槽形铝合金  20×10×1.2,槽形铝合金 20×10×1.2,m,m,98,
Material,2411310,4038053,相似名称匹配,铝合金角铝 10×10 白色,铝合金角铝 10×10,m,m,100,自动采用唯一高相似候选
Material,3378021,1225585,规范化名称匹配,UPVC落水口 Φ110,UPVC落水口 φ110,套,套,98,
Material,2547012,4015181,规范化名称匹配,塑钢单玻平开门(带玻璃),塑钢单玻平开门 (带玻璃),m2,m2,98,
Material,2410422,4031365,规范化名称匹配,铝合金板  δ=0.8,铝合金板 δ=0.8,m2,m2,98,
Material,1280056,1173843,规范化名称匹配,结构硅酮密封胶350g,结构硅酮密封胶 350g,支,支,98,
Material,4020114,1273121,规范化名称匹配,砂轮片 Φ200,砂轮片 φ200,片,片,98,
Material,2715201,3046605,相似名称匹配,绝缘轨距块 1-10mm,绝缘轨距块 1～10,块,块,92,自动采用唯一高相似候选
Material,2766030,3043381,相似名称匹配,轨下调高垫板 1-15mm,轨下调高垫板 1～15,块,块,93,自动采用唯一高相似候选
Material,2741114,3031601,相似名称匹配,预应力混凝土枕 Ⅲ型A  专线3393,预应力混凝土枕 C-Ⅲ型A 专线3393,根,根,97,自动采用唯一高相似候选
Material,2741115,3031761,相似名称匹配,预应力混凝土枕 Ⅲ型B  专线3394,预应力混凝土枕 C-Ⅲ型B 专线3394,根,根,97,自动采用唯一高相似候选
Material,2741205,3032241,相似名称匹配,预应力混凝土桥枕 Ⅲ型qa  新Ⅲ 专线3448,预应力混凝土桥枕 Ⅲ型qa 专线3448,根,根,98,自动采用唯一高相似候选
Material,2741206,3032401,相似名称匹配,预应力混凝土桥枕 Ⅲqc 专线3452,预应力混凝土桥枕 Ⅲ型qc 专线3452,根,根,100,自动采用唯一高相似候选
Material,2710019,3042601,规范化名称匹配,接头夹板75kg,接头夹板 75kg,块,块,98,
